number;name;address;email;phone;latitude;longitude
57;Europris Alta;Buktaveien 4, 9515, Alta;ep057@europris.no;78433050;69.97620000;23.32430000
473;Europris Andenes;Industriveien 4 A, 8480, Andenes;ep473@europris.no;48053629;69.31011000;16.09885000
647;Europris Arkaden City;Klubbgata 5, 4013, Stavanger;ep647@europris.no;90707130;58.97073000;5.73576000
637;Europris Asker;Røykenveien 142, 1386, Asker;ep637@europris.no;90299207;59.81892000;10.44097000
388;Europris Askim;Trøgstadveien 4 D, 1830, Askim;ep388@europris.no;95138352;59.58522000;11.16639000
612;Europris Austevoll;Storebøvegen 201 B, 5392, Storebø;ep612@europris.no;90226950;60.09847000;5.22488000
360;Europris Averøy;Averøyveien 10, 6530, Averøy;ep360@europris.no;48089310;63.05172000;7.63204000
592;Europris Bardufoss;Fagerlidal 430, 9325, Bardufoss;ep592@europris.no;45904200;69.09414000;18.59034000
463;Europris Begby;Haldenveien 6, 1639, Gamle Fredrikstad;ep463@europris.no;48040672;59.20830000;10.99089000
644;Europris Bekkestua;Gml. Ringeriksvei 39, 1357, Bekkestua;ep644@europris.no;47682525;59.91803000;10.58714000
317;Europris Billingstad;Billingstadsletta 11, 1396, Billingstad;ep317@europris.no;90539091;59.87702000;10.50069000
506;Europris Bjugn;Bjugnveien 26, 7160, Bjugn;ep506@europris.no;72526767;63.76612000;9.80779000
299;Europris Bjørkelangen;Bliksrud Næringsområde, 1940, Bjørkelangen;ep299@europris.no;63851743;59.89093000;11.56010000
469;Europris Bodø;City Nord, Stormyra, 8008, Bodø;ep469@europris.no;91588152;67.27698000;14.42380000
576;Europris Bogafjell;Bogafjellveien 65, 4324, Sandnes;ep576@europris.no;51620739;58.82104000;5.75326000
323;Europris Brandbu;Storlinna 20, 2760, Brandbu;EP323@europris.no;46928430;60.41727000;10.51537000
495;Europris Brekstad;Maren Juels Gate 1, 7130, Brekstad;ep495@europris.no;47510103;63.69235000;9.66151000
466;Europris Brennåsen;Brennåsenmoen 1, 4647, Brennåsen;ep466@europris.no;99123865;58.13867000;7.85590000
311;Europris Brokelandsheia;Brokelandsheia, 4993, Sundebru;ep311@europris.no;37157500;58.82414000;9.07415000
229;Europris Brumunddal;Furnesveien 18, 2380, Brumunddal;ep229@europris.no;62344030;60.88548000;10.94124000
238;Europris Bryn;Nils Hansens Vei 6 A, 0666, Oslo;ep238@europris.no;46816943;59.91206000;10.82484000
345;Europris Bryne;Reevegen 13, 4340, Bryne;ep345@europris.no;51486790;58.73500000;5.65268000
61;Europris Brønnøysund;Salhusmarka 1, 8907, Brønnøysund;ep061@europris.no;75020760;65.49199000;12.24130000
439;Europris Bø;Valenvegen 5, 3802, Bø I Telemark;ep439@europris.no;35953748;59.41535000;9.05834000
470;Europris Bømlo;Svortlandsvegen 79, 5430, Bremnes;ep470@europris.no;53424008;59.79601000;5.18529000
634;Europris Cc Drammen;Tomtegata 36, 3012, Drammen;ep634@europris.no;48178745;59.74123000;10.22278000
508;Europris Dale;Jarstadveien 22, 6963, Dale I Sunnfjord;ep508@europris.no;47707066;61.36311000;5.39812000
580;Europris Digernes;Digernes Næringsområde 11, 6260, Skodje;ep580@europris.no;90180848;62.49156000;6.60853000
590;Europris Dokka;Storgata 55, 2870, Dokka;ep590@europris.no;61119244;60.83624000;10.06889000
630;Europris Dombås;Sentralplassen 1 A, 2660, Dombås;ep630@europris.no;90586933;62.07429000;9.12724000
199;Europris Drøbak;Holterveien 4I, 1448, Drøbak;ep199@europris.no;64935705;59.67376000;10.65719000
12;Europris Egersund;Lindøyveien 8, 4373, Egersund;ep012@europris.no;51494003;58.44094000;6.00725000
246;Europris Eidsvoll;Nedre Vilbergsvei 4, 2080, Eidsvoll;ep246@europris.no;63957900;60.33131000;11.26554000
339;Europris Eidsvåg;Kråkholmvegen 19, 6460, Eidsvåg I Romsdal;ep339@europris.no;90703121;62.77611000;8.06280000
117;Europris Eiker;Eikersenteret, 3300, Hokksund;ep117@europris.no;32759640;59.76127000;9.90383000
396;Europris Elnesvågen;Torget 6, 6440, Elnesvågen;ep396@europris.no;71262040;62.85382000;7.16111000
249;Europris Elverum;Olav Sæters Veg 6, 2413, Elverum;ep249@europris.no;62400844;60.89516000;11.58373000
407;Europris Enebakk;Sagstuveien 1, 1914, Ytre Enebakk;ep407@europris.no;48135311;59.72398000;11.05030000
624;Europris Ensjø;Gladengveien 1, 0661, Oslo;ep624@europris.no;90135050;59.91456000;10.78817000
602;Europris Etne;Haukelivegen 936, 5590, Etne;ep602@europris.no;94790097;59.66371000;5.93238000
362;Europris Evje;Verksveien 20, 4735, Evje;ep362@europris.no;90813091;58.58013000;7.78815000
594;Europris Falkum;Århusveien 25, 3723, Skien;ep594@europris.no;35546030;59.21306000;9.58649000
304;Europris Farsund;Øygardsveien 2, 4550, Farsund;ep304@europris.no;38392400;58.09809000;6.77089000
373;Europris Fauske;Terminalveien 5, 8208, Fauske;ep373@europris.no;75646418;67.27133000;15.39585000
430;Europris Finnsnes;Ringveien 1, 9300, Finnsnes;ep430@europris.no;47905555;69.22940000;17.98739000
623;Europris Fjellhamar;Haneborgveien 95, 1463, Fjellhamar;ep623@europris.no;48077590;59.94107000;10.97964000
390;Europris Flatåsen;Øvre Flatåsvei 1B, 7079, Flatåsen;ep390@europris.no;95361658;63.37395000;10.34572000
608;Europris Flekkefjord;Lasta 50, 4400, Flekkefjord;ep608@europris.no;38324410;58.29298000;6.66359000
230;Europris Flisa;Solvesgate 2, 2270, Flisa;ep230@europris.no;62950200;60.61307000;12.00806000
192;Europris Florø;Posthuset, 6900, Florø;ep192@europris.no;57749000;61.60052000;5.04740000
376;Europris Flå;Svingelie 10, 3539, Flå;ep376@europris.no;97969819;60.43021000;9.46198000
420;Europris Forus;Lagerveien 2, 4033, Stavanger;ep420@europris.no;90286462;58.89606000;5.70186000
597;Europris Fosnavåg;Eggesbøjorda 3, 6092, Fosnavåg;ep597@europris.no;94814755;62.32411000;5.63875000
209;Europris Fredrikstad;Dikeveien 8, 1661, Rolvsøy;ep209@europris.no;69352420;59.24484000;10.98454000
638;Europris Fritzøe Brygge;Fritzøe Brygge 1, 3264, Larvik;ep638@europris.no;90298849;59.05019000;10.02142000
628;Europris Froland;Bjørumsvegen 2A, 4820, Froland;ep628@europris.no;48186795;58.49697000;8.64500000
621;Europris Frøya;Nordfrøyveien 25, 7263, Hamarvik;ep621@europris.no;47707085;63.70450000;8.81890000
458;Europris Furuset;Trygve Liesplass 1, Furuset Senter, 1051, Oslo;ep458@europris.no;95102755;59.94216000;10.89774000
429;Europris Fyllingsdalen;Spelhaugen 6, 5147, Fyllingsdalen;ep429@europris.no;55151128;60.35090000;5.27783000
579;Europris Førde;Firdavegen 20, 6800, Førde;ep579@europris.no;57827005;61.45671000;5.84409000
575;Europris Ganddal;Lundegeilen 20-22, 4323, Sandnes;ep575@europris.no;51675541;58.82024000;5.71230000
346;Europris Gausdal;Fargerivegen 7, 2651, Østre Gausdal;ep346@europris.no;61220094;61.22638000;10.22247000
404;Europris Geilo;Vesleslåttvegen 19, 3580, Geilo;ep404@europris.no;48170259;60.53359000;8.20665000
464;Europris Giske;Valderøyvegen 1166, 6050, Valderøya;ep464@europris.no;47606212;62.53268000;6.12326000
394;Europris Gjøvik;Kallerudlia 4, 2818, Gjøvik;ep394@europris.no;61179490;60.78047000;10.69246000
415;Europris Gol;Sentrumsvegen 64, 3550, Gol;ep415@europris.no;32074505;60.70505000;8.95334000
479;Europris Gran;Morstadvegen 2, 2750, Gran;ep479@europris.no;94134088;60.35392000;10.57601000
432;Europris Grasmyr;Tønderveien 3, 3960, Stathelle;ep432@europris.no;47637562;59.03036000;9.70408000
629;Europris Grensen City;Grensen 13, 0159, Oslo;ep629@europris.no;90171147;59.91394000;10.74319000
639;Europris Grim;Setesdalveien 21, 4616, Kristiansand S;ep639@europris.no;90362271;58.14833000;7.97886000
437;Europris Grimstad;Bergemoveien 45, 4886, Grimstad;ep437@europris.no;37041910;58.34273000;8.55371000
353;Europris Grini Pluss;Grini Næringspark 1, 1361, Østerås;ep353@europris.no;90362945;59.94561000;10.59776000
494;Europris Grong;Sundspetvegen 33, 7870, Grong;ep494@europris.no;94870256;64.46327000;12.30489000
472;Europris Grorud;Grorud Senter, Bergensveien 2, 0963, Oslo;ep472@europris.no;48157070;59.95948000;10.88261000
641;Europris Gulskogen;Guldlisten 35, 3048, Drammen;ep641@europris.no;90912828;59.74253000;10.15797000
604;Europris Gunerius City;Storgata 32, 0184, Oslo;ep604@europris.no;90269964;59.91416000;10.75291000
239;Europris Halden;Walkers Gate 8B, 1771, Halden;ep239@europris.no;69191400;59.12160000;11.38340000
631;Europris Hamar;Midtstranda 97, 2321, Hamar;ep631@europris.no;94827130;60.79949000;11.11649000
62;Europris Hammerfest;Finnmarksveien 56, 9600, Hammerfest;ep062@europris.no;78413256;70.67857000;23.66983000
589;Europris Harstad;Verkstedveien 7 B, 9406, Harstad;ep589@europris.no;77061540;68.79191000;16.54183000
595;Europris Herkules;Ulefossveien 48, 3730, Skien;ep595@europris.no;35595260;59.19510000;9.59715000
277;Europris Hitra;Storhaugveien 1, 7240, Hitra;ep277@europris.no;95458178;63.60638000;8.96961000
42;Europris Holmestrand;Bentserudveien 4, 3080, Holmestrand;ep042@europris.no;33052100;59.47355000;10.31723000
632;Europris Holmestrand;Bentserudveien 4, 3080, Holmestrand;ep632@europris.no;33052100;59.47355000;10.31723000
646;Europris Holmlia City;Holmliaveien 75, 1255, Oslo;ep646@europris.no;48083055;59.83425000;10.79603000
329;Europris Hommelvik;Havnevegen 24, 7550, Hommelvik;ep329@europris.no;46863488;63.41524000;10.80752000
395;Europris Horten;Strandparken 3-5 Lindenpark, 3187, Horten;ep395@europris.no;33040590;59.40765000;10.48450000
363;Europris Hov;Hovlandsvegen 1, 2860, Hov;ep363@europris.no;90404731;60.69716000;10.35335000
374;Europris Hunstad;Hunstadsenteret, Vei 1414 Nr 674, 8022, Bodø;ep374@europris.no;46905432;67.28111000;14.54527000
47;Europris Husnes;Opsangervegen 1, 5460, Husnes;ep047@europris.no;46825757;59.85881000;5.75396000
244;Europris Hønefoss;Hvervenmoveien 2, 3511, Hønefoss;ep244@europris.no;32130230;60.14590000;10.25245000
364;Europris Indre Arna;Storaneset 24, 5260, Indre Arna;ep364@europris.no;90363720;60.43358000;5.46294000
279;Europris Iseveien;Snekkerstubakken 26, 1738, Borgenhaugen;ep279@europris.no;69101235;59.26897000;11.15912000
359;Europris Jessheim;Dampsaga Allé 3, 2050, Jessheim;ep359@europris.no;90243180;60.14256000;11.18056000
477;Europris Jevnaker;Industrivegen 2, 3520, Jevnaker;ep477@europris.no;48021458;60.22947000;10.35494000
369;Europris Juvik;Juvikflaten 10, 5300, Kleppestø;ep369@europris.no;95431747;60.42702000;5.19261000
619;Europris Jåttå;Jåttåvågveien 7, 4020, Stavanger;ep619@europris.no;91398210;58.91426000;5.71905000
25;Europris Jørpeland/strand;Ryfylke Storsenter, 4100, Jørpeland;ep025@europris.no;51749399;59.02063000;6.03994000
642;Europris Jørpeland/strand;Ryfylke Storsenter, 4100, Jørpeland;ep642@europris.no;51749399;59.02063000;6.03994000
58;Europris Karmøy;Vestheimveien 6, 4250, Kopervik;ep058@europris.no;52852055;59.29148000;5.28929000
614;Europris Kilen Tønsberg;Halfdan Wilhemsens Alle 42, 3117, Tønsberg;ep614@europris.no;33317224;59.27379000;10.42929000
460;Europris Kirkeby;Ringveien 11, 2815, Gjøvik;ep460@europris.no;97675028;60.78383000;10.69194000
316;Europris Kirkenes;Smiveien 4, 9900, Kirkenes;ep316@europris.no;78993855;69.72569000;30.06846000
423;Europris Kirkenær;Bruvegen 11, 2260, Kirkenær;ep423@europris.no;46929121;60.45675000;12.05717000
572;Europris Kjørbekk;Bedriftsvegen 130, 3735, Skien;ep572@europris.no;90055862;59.18374000;9.60583000
577;Europris Klepp;Solavegen 2, 4350, Kleppe;ep577@europris.no;91763645;58.77801000;5.62843000
252;Europris Kløfta;Trondheimsveien 62, 2040, Kløfta;ep252@europris.no;63976230;60.07258000;11.13591000
89;Europris Knarvik;Kvernhusmyrane 21, 5914, Isdalstø;ep089@europris.no;40638229;60.54810000;5.28661000
500;Europris Kokstad;Kokstaddalen 18, 5257, Kokstad;ep500@europris.no;46859080;60.29431000;5.25325000
426;Europris Kolvereid;Kolvereid Torg, 7970, Kolvereid;ep426@europris.no;74398630;64.86468000;11.59831000
606;Europris Kongsberg Sølvparken;Sildetomta 8, 3602, Kongsberg;ep606@europris.no;32721700;59.66900000;9.65425000
243;Europris Kongsvinger;Markensveien 3, 2212, Kongsvinger;ep243@europris.no;94156316;60.19289000;12.00053000
385;Europris Konnerud;Pettervollveien 3, 3032, Drammen;ep385@europris.no;95091163;59.71786000;10.14890000
76;Europris Kragerø;Dalaneveien 28-30, 3772, Kragerø;ep076@europris.no;35982535;58.87311000;9.36891000
308;Europris Kristiansund;Rørgata 5, 6517, Kristiansund N;ep308@europris.no;71583941;63.10967000;7.80007000
399;Europris Kråkerøy;Stadion 33, 1671, Kråkerøy;ep399@europris.no;91759420;59.21209000;10.92863000
327;Europris Krøgenes;Kystveien 247, 4841, Arendal;ep327@europris.no;97627627;58.47355000;8.81403000
488;Europris Kvala;Austrheimsveien 10, 5516, Haugesund;ep488@europris.no;52718140;59.43764000;5.26845000
467;Europris Kvinesdal;Austerdalsveien 3A, 4480, Kvinesdal;ep467@europris.no;38350510;58.32051000;6.96346000
325;Europris Kyrksæterøra;Industriveien 5, 7200, Kyrksæterøra;ep325@europris.no;90682051;63.29347000;9.08651000
320;Europris Lade;Haakon Vii Gate 12 1.Etg, 7041, Trondheim;ep320@europris.no;97471797;63.44017000;10.46253000
626;Europris Lagunen;Laguneveien 17, 2 Etg, 5239, Rådal;ep626@europris.no;90410385;60.29555000;5.32952000
305;Europris Lakselv;Låtasvei, 9700, Lakselv;ep305@europris.no;78463144;70.05203000;24.97146000
483;Europris Laksevåg;Kringsjåveien 83-89, 5163, Laksevåg;ep483@europris.no;91713530;60.38951000;5.28701000
254;Europris Lambertseter;Cecilie Thoresensvei 28, 1153, Oslo;ep254@europris.no;22742500;59.87489000;10.80969000
509;Europris Langevåg;Veddevegen 171, 6030, Langevåg;ep509@europris.no;47688026;62.43810000;6.23387000
290;Europris Langnes;Ærfuglvegen 5, 9015, Tromsø;ep290@europris.no;77673730;69.67542000;18.92858000
443;Europris Langrønningen;Langrønningen 16, 3967, Stathelle;ep443@europris.no;35976920;58.97256000;9.52422000
269;Europris Leira;Markaveien 2, 2920, Leira I Valdres;ep269@europris.no;61 36 10 75;60.97112000;9.28952000
627;Europris Leira;Markaveien 2, 2920, Leira I Valdres;ep627@europris.no;61361075;60.97112000;9.28952000
20;Europris Leknes;Hotellgården, Elvegårdsveien 10, 8370, Leknes;ep020@europris.no;76082222;68.14733000;13.60656000
620;Europris Lena;Vallevegen 16, 2850, Lena;ep620@europris.no;61162244;60.67529000;10.81152000
471;Europris Levanger;Moafjæra 12, 7606, Levanger;ep471@europris.no;74096700;63.73383000;11.28266000
224;Europris Lierstranda;Lierstranda 97, 3414, Lierstranda;ep224@europris.no;95865576;59.74989000;10.24926000
438;Europris Liertoppen;Drammensveien 201, 3421, Lierskogen;ep438@europris.no;32848860;59.81129000;10.30585000
